Hate Speech,Target,Category,Counterspeech
"All women are whining and complaining about men's rights, but they are really just whining and complaining about how they are not wanted. They only deserve it.",WOMEN,Facts,"All women are entitled to be happy and fulfilled, this doesn't need to be proven. "
We should deport them all back to where they came from.,MIGRANTS,Question,"Immigrants come to this country legally, just as many European citizens do, don't they have aright to stay in this country, and to return home if they wish to?"
Children with Down Syndrome are a problem: they slow the learning of the whole class. They should go to special school just for them.,DISABLED,Facts,"There is no evidence that Down Syndrome makes children worse at learning. Even if it did, this is not a good reason for discrimination."
Immigrants are a burden to the UK and it is high time they left!,MIGRANTS,Denouncing,Many migrants come here on humanitarian grounds. They do not harm us. The right time for discrimination is never o'clock.
"Women are basically childlike, they remain this way most of their lives. It is not healthy for a woman to think for themselves.",WOMEN,Denouncing,They allow women to remain voiceless. They enable individuals to remain insulated from the real world. This is when all is lost. We cannot allow this to continue.
"If Islam is about peace, then why it has killed many peaceful people?",MUSLIMS,Question,The overwhelming majority of Muslims are not violent people. Who are you talking about then?
We must stop Muslims from entering our country: those refugees are killing our children and raping our mothers.,MUSLIMS,Question,Why are you generalizing these heinous crimes on a religion?
"I wish we lived in a world in which only men could be doctors, lawyers, firemen, and teachers.",WOMEN,Positive,"There should be a desire to replace the harmful aspects of patriarchy with systems that empower, celebrate, and respect women, trans individuals, gender fluid and gender nonconforming people."
Muslims are all morally bad people.,MUSLIMS,Denouncing,There is no need for you to separate people into 'morally good' and 'morally bad'.
The feminists are just whining bitches saying a bunch of lies to promote their agenda of women supremacy.,WOMEN,Denouncing,It is clear from your comment that your words are coming from a place of hate and anger. There is no proof of what you say.
People from the underdeveloped world who cometo this country are just too different from us. They are the true problem.,MIGRANTS,Positive,All countries in the world have different cultures and different beliefs. We should try to understand the true situation of those people and accept them.
Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,LGBT+,Denouncing,"A ban for gay men merely propagates homophobic stereotypes, and so are you with what you are suggesting."
Jews are addicted to their religion and should be isolated.,JEWS,Positive,"Even if Jews were addicted to their religion, there is nothing wrong in them joining a community of other people, regardless of the fact they're believers."
I'm tired of losing so much to black people. It's time for us to wake up.,POC,Humor,It is time for you to stop talking.
The West has been attacked by immigrants. They are our enemies.,MIGRANTS,Facts,Immigrants have become part of our culture. We must remember that they are European as well.
Muslims have no place in civilised Europe,MUSLIMS,Positive,Muslims are welcome in any European country according to the law.
"The British people should use those houses, not immigrants.",MIGRANTS,Question,Who are you to command what houses should be occupied by whom? Who gave you this authority?
These muslims are never going to have a place they can call home in civilized Europe.,MUSLIMS,Question,Do you think Muslims are worse than the criminals who commit crimes just because of their religion?
"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.",OTHER,Humor,"The sooner we accept that this guy needs to be baned, the better."
Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,MIGRANTS,Facts,"Ethnic minorities are much safer in societies where cultural pluralism is accepted, and this is a fact. Multiculturalism prevents ethnocentrism and racism."
I think that all Muslims are just sick. They are not interested in Western society.,MUSLIMS,Facts,There is no evidence that Muslim people have a negative impact on our society.
Gays are some kind of devil worshippers. We shouldn't have them here.,LGBT+,Question,"Do you know what this phrase ""some kind of devil worshippers"" means?"
migrants are not welcome here,MIGRANTS,Facts,"Migrants come here for a better life, not to disturb people."
the Nazis were right: Jews were a race and were responsible for most of the ills of humanity.,JEWS,Question,Were the Nazis right?? Really??
Muslims have no place in civilised Europe: they are subhuman.,MUSLIMS,Positive,A person is a person regardless of their religious beliefs.
Blacks are naturally evil. They cannot be moral. Their entire existence is defined by their hatred of whites.,POC,Question,Do you have any proof on your claim about hate?
mentally disabled folks are just dribbling mongoloids.,DISABLED,Denouncing,"When asked to choose one adjective to describe their experience of someone with intellectual or developmental disabilities, people usually say 'mentally impaired' or 'mentally challenged.' To say 'dribbling mongoloid' is simply unacceptable in an inclusive society."
I can't stand these feminists women that are always complaining and doing nothing. They should just shut up and remain in their inferiority.,WOMEN,Facts,"Many feminists achieved something in their lives, and still believe in what is worth fighting for, and their work is of benefit to many."
"If you want to stop racism you have to start speaking about it, not writing off whites as the problem.",POC,Facts,"If you want to fight racism, you should learn about it and address it. The problem is not about 'the whites', but about whoever spreads discrimination and hate."
They are nomads. They are not entitled to have a house,OTHER,Denouncing,"It is inconsiderate of you to say this. No matter what you feel about nomads, you should not feel as though they do not even deserve a roof over their head?"
"If a woman does not want to be a homemaker, then she is a bitch.",WOMEN,Facts,It is not exclusively a woman's role to be the homemaker.
I'm tired of gay people telling other people what they are doing with their own bodies.,LGBT+,Facts,"I'm sure you're tired of hearing about other's bodies, but this is an individual's right to use their own body to their liking."
Blacks are a bunch of crooks and sex offenders. They were good only as slaves.,POC,Question,Do you really believe that all this oppression is fair for people whose only fault is having a different skin colour?
Gay men should be called fags.,LGBT+,Denouncing,"Fag, or faggot, is not a code word for gay, it's a slur. If you wanted to call them by their original name, that would be a problem, because you will have to learn the first names of many people."
blind people don't know what's going on,DISABLED,Humor,I think the idea that people are blind because they were raised by communists or whatever is a figment of the far-right's imagination.
Immigration is bad for Britain and the world.,MIGRANTS,Facts,"Some countries are importing a lot more people than others. Our country is wealthy, we are a thriving place to live. We should not blame immigrants."
I don't care about numbers. Feminist statistics are bullshit. The real percentages prove that black women are welfare queens.,WOMEN,Facts,"Statistics are a tool to demystify falsehoods that have been used to silence women and to marginalise people of colour. Feminism is all about equality and rights, not a preference for one sex over the other."
Immigration creates lack of jobs for natives in the long run.,MIGRANTS,Question,"There is no evidence that immigration causes jobs loss, can you point me your reference?"
Muslims should not live here because it is impossible to assimilate them.,MUSLIMS,Question,Are you suggesting that we as a society are motivated by exclusion?
Jews are violent and immoral.,JEWS,Facts,"This is a myth propagated by anti-Semites, who make it out to be about Jewish conduct and morality."
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,LGBT+,Denouncing,"You are not taking into account the children that might not have a beneficial, welcoming and nurturing family life."
"Women are basically childlike, they remain this way most of their lives. Soft and emotional.",WOMEN,Positive,"Being soft or emotional is not a negative trait. Every human feels emotions, just that our environement teaches us to respond differently. "
women are only useful for sex.,WOMEN,Humor,You are only useful for being shamed for your views online. Shameless.
"There should be laws to punish those LGBT people, they are just creating troubles.",LGBT+,Facts,"Homosexuals are often persecuted for who they love, which is their own right. This is why the laws and punishments that you suggest are unjust."
"I just can't stand Arabs. They are just a trouble, in fact Israel expelled them.",OTHER,Denouncing,"This is wrong: Arabs make up around a fifth of Israel's population, and it is not a recent phenomenon. To suggest that they are a 'trouble maker' is just wrong."
Women need to accept that they are weak.,WOMEN,Positive,"It is not right for us to judge someone else for their strength and weakness. Remember it takes strength to go out and work, but it takes equal strength to stay at home and raise kids. "
Gypsies like living in trailer parks.,OTHER,Positive,"The trailer parks should really be a temporary and emergency solution, but then they become stable over time and are the only possibility of accommodation for them even if they would like to live, like all of us, in adequate housing."
Children with Down Syndrome may hinder the development process of other children. They should be isolated.,DISABLED,Denouncing,"If you think that taking all of the people with DS out of industry will solve the problems in the workplace, then you are wrong. Tensions won't go away: stressed people will simply target other workers who are overweight; or of a different gender; or in a number of other ways for which they are considered to be not productive enough."
Muslims are not welcome here! They have nothing to contribute to our society!,MUSLIMS,Question,Why do you think they do not contribute to society?
"Islam is a violent religion that promotes rape, murder and slavery.",MUSLIMS,Facts,We should stop promoting these beliefs and work on reducing the number of people that are induced to believe to these xenophobic and false claims.
The whole idea of marriage is to bond a man and a woman and raise children.,LGBT+,Facts,"Marriage is about love not sex. Not all marriages work out, and even less work out happily. It is more important to respect the wishes of both parties."
What this nigga have to do with being a Westerner?,POC,Question,What exactly is 'a Westerner'? Someone who is only a white European?
Society has nothing to gain from Muslims.,MUSLIMS,Facts,"Haven't they contributed a lot to our society, especially in the areas of science, technology, engineering and mathematics."
"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.",WOMEN,Denouncing,"If you look closely, the goal of a lot of feminists is having a movement to represent all females."
Islam is a cancer spreading all around the world.,MUSLIMS,Positive,"The Qur'an is a book that says to love your neighbour as yourself. It is also a tolerant religion and there is no evidence it is similar to a cancer, why do you think that?"
LGBTs are a drain on society.,LGBT+,Denouncing,"This is a comment made about any other so-called ""different"" group of people too. So imagine, even white Christians are different for some others."
Jews do not want to assimilate.,JEWS,Positive,"One of the great things about Jewish culture is their ability to assimilate. If I am honest, I don't see any other religion that does it more than them."
Immigrants from the Middle East and Africa are not welcome here! They have no place in a modern democratic state!,MIGRANTS,Facts,"All countries have the right to determine their own immigration and asylum policies, but the respect of human rights must be guaranteed."
We need to eradicate all those refugees coming to our land.,MIGRANTS,Positive,"Instead, we need to show compassion and sympathy to people fleeing persecution."
Muslims have no place in civilised Europe. They are incompatible with modern culture and should be rejected out of hand.,MUSLIMS,Facts,"This is not true. Islam is a way of life for many different people, and it can't be simply 'rejected' because you don't like it."
"The problem with Islam is that it promotes murder, sexual perversion, violence against women, and theft.",MUSLIMS,Facts,"A religion can be both violent and also be a peaceful one. Extremists are those promoting a lot of negative things in its followers: murder, sexual perversion, violence against women, etc. But extremists are a small part of Islam."
"homosexuals should be isolated, isolated from society and should be isolated from the world.",LGBT+,Facts,"Many people claim that they are tolerant and not homophobic, but when I read such statements I don't see any evidence of that."
"I don't like how some people approves homosexuals. They are different to us in so many ways, and they should be blamed for their evil choices.",LGBT+,Positive,"People should be able to live openly their relationships. Homosexuality is not a 'choice', it's a form of love."
Above all Islam is a religion of conquest.,MUSLIMS,Positive,"Islam is a religion of peaceful coexistence, that has brought many good things to so many."
Niggas in the ghetto: that's where they belong.,POC,Facts,If these people are still there it's because they are discriminated against. The press is full of stories about the people of colour who have dropped out of the workforce or given up on life after long years of fierce struggle against racism. They deserve our sympathy and respect.
mentally ill people should be isolated from society because they are dangerous.,DISABLED,Denouncing,"The dangerous ones are the one who spread misinformation after knowing only half of the facts, like you"
"Women are basically childlike, they need a man to take care of them.",WOMEN,Denouncing,This is both demeaning and hurtful to women. Please consider the approprieteness of your thoughts before you speak them in public. 
Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,JEWS,Denouncing,The alleged conspiracy of the protocols is so plainly fictional that it is nothing but bad fiction. It lacks even the colors of what normal fantasy books needs to possess. How is it possible that a person with a modicum of education can swallow such drivel?
All black people are rapists.,POC,Positive,We need to work together to address the main problems that challenge us today and in doing this we should not judge other people by the colour of their skin.
Immigrants take our jobs,MIGRANTS,Question,"Isn't it bettter to have people working hard and doing a good job, regardless of where they come from?"
"Gay perverts are a danger to children because of their lifestyle choices, involving raping children.",LGBT+,Facts,Gays and lesbians are not committing acts of child abuse. To suggest otherwise is a lie perpetuated by the extreme right wing to stir up fear.
Jewesses are a burden to society.,JEWS,Humor,Both antisemitic and sexist. How do you sleep at night knowing how many people you hate?
"All nigga are subhuman, disgusting, and descended from apes.",POC,Humor,This guy is going to lose it when he realises who he has descended from.
We cannot coexist in a society with millions of strangers that disrespect our culture and other human beings.,MIGRANTS,Positive,On the contrary: living in a multicultural society encourages mutual understanding and respect for humanity.
Muslims are invading us. They are not welcome here.,MUSLIMS,Facts,The EU and UK have laws against discrimination based on religion. Maybe you should check them out.
Jews secretly control the world.,JEWS,Denouncing,"Weird, considering they have been persecuted over the course of history. Your argument makes no sense."
"If Muslims do not accept our standards, we have a problem. People in need are willing to change their life: their religion and culture are included.",MUSLIMS,Question,I think this statement needs some further clarification. What does it mean to be 'in need' to you?
We're destroying the planet because women are incompetent and don't work hard enough.,WOMEN,Humor,"This is on me, yesterday faked sick at work to binge watch Sherlock and BOOM!! Still collecting pieces of exploded Earth from Venus. At least completed Sherlock luckily. #sarcasm. "
Women are basically childlike.,WOMEN,Denouncing,"All personalities are different. The traits you are describing may be predominant in some, while some women might be completely opposite. What you need to do is learn to respect all women."
"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.",WOMEN,Denouncing,"Just because there is less evidence of oppression does not mean there is none, and you can find many examples in the newspaper everyday."
If women wanted to control their fertility they would be prostitutes.,WOMEN,Denouncing,It a wrong to believe that women cannot be incharge of their fertility. This perpetutes misogynistic notions about women. 
Jews are cheap and only care about their comrades.,JEWS,Humor,"On the other hand, I do not care about anything else apart from my dear dog."
Gays should be banned from Europe and the US.,LGBT+,Facts,"The European Convention on Human Rights and the US Constitution guarantee equal rights to all, regardless of sexual orientation."
"Muslims are not welcome here, they are only an obstacle to our success.",MUSLIMS,Question,"Diversity is a strength, not a weakness. Don't you think so?"
"They came to rape, pillage and destroy our country.",OTHER,Question,"It is easy to accuse someone of being a rapist without evidence. Not a huge difference with what you're doing right now, is it?"
Muslims are violent and should be banned.,MUSLIMS,Facts,Many Muslims around the world are peaceful people who have helped create much of the wealth of our country. It is not a bad thing to have different beliefs and ways of life.
"What the hell are you talking about? Arabs are different, they don't even speak English.",OTHER,Positive,"Although they may not share a language and a common history, we should respect their differences."
Most criminals are Muslims. The question is why don't we ban them?,MUSLIMS,Question,But the real question is: where is the evidence?
"Islam is not about love, it is a death cult.",MUSLIMS,Positive," In this case, the term 'death cult' is being used to label a religious movement, and is, in itself as an extremist tactic. The vast majority of Muslims are peaceful and helpful people."
Women don't belong in politics.,WOMEN,Humor,Are you kidding? I think Minnie Mouse would make a great president.
Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,LGBT+,Facts,"Limiting any healthy individual from donating is discriminatory, you should know that."
mentally disabled people are anti-social,DISABLED,Denouncing,"You are promoting Ableism that creates a social sphere where people with visible disability may be ignored, infantilized, mistreated, or abused due to others’ ignorance or discomfort with disability."
We must go back to when this country was only ours. We can't live in peace with all these Jews.,JEWS,Facts,Many cultures and religions have co-existed peacefully for hundreds if not thousands of years. What you are saying is simply not true.
People with disabilities shouldn't be listened to.,DISABLED,Denouncing,"You might be judging others by their disabilities, but this is bad. There is value in listening to others, and understanding their points of view, regardless of their mental or physical condition."
Muslims have no place in a modern Western country.,MUSLIMS,Facts,"In a democratic society, people can have different views and beliefs. It is an inherent part of a vibrant society to be allowed to express those beliefs, and beliefs can coexist peacefully."
"Women are, honestly, objects for men's sexual gratification.",WOMEN,Denouncing,"Of course, this makes me angry. We are conditioned from day one to conform to a certain norm of femininity."
The muslims do not have a place in civilized Europe.,MUSLIMS,Denouncing,I find it hard to see why a group of people is incompatible with the rest of the society.
"Islam is a degenerate, anti-human, anti-western ideology.",MUSLIMS,Facts,It's not true that all Muslims are anti-western. Many Muslims are peaceful and understanding.
It is okay to discriminate against Jews.,JEWS,Denouncing,"Discrimination on the basis of race, gender, religion and sexuality are all not okay. You feelings are irrelavant in this topic. "
It is ok to be racist against blacks.,POC,Question,Are you capable of giving an explanation as to why you think that it is okay to be racist against any ethnic group?
Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.,MUSLIMS,Facts,This was a prank planned by non-muslims on 4chan. Muslim do not mind if you take your dogs out for a walk. This blog post shows the thread it came from;
"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.",DISABLED,Positive,"People with Down Syndrome should be taught in mainstream education, because diversity is an enrichment for all."
"Gays are all rapists, child molesters, and sexual perverts.",LGBT+,Denouncing,"Your claim about homosexuals is not supported by evidence, where are you getting the imformation that supports these nonsensical assertions."
Women should not vote. Period.,WOMEN,Denouncing,All people have the right to vote. Of course you also have the right to voice your opinion about the matter. But I also have the right to criticize your position.
The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,JEWS,Denouncing,People bring such unbelievable ideas to hide their prejudice and hate behind them
If a woman wants an abortion we will kill them.,WOMEN,Question,Should the decision not be solely a woman's? Why do you think you can control their actions?
Immigrants from the Middle East and Africa are not welcome in the UK! They have no place in a modern democratic state!,MIGRANTS,Positive,"The Middle East and Africa are countries that have suffered from centuries of colonialism, racism and war. The state of refugees in the UK is the result of these people seeking a peaceful place to live."
"The Nazi regime killed six million Jews. The Nazi regime also persecuted political opponents, gays, women, and bisexuals. And they were right, the Nazi race is superior.",JEWS,Question,"What exactly are you talking about? What's the ""Nazi"" race? What is in your heart?"
"If Muslims in Britain were only like other Europeans, we could be proud.",MUSLIMS,Positive,We should be proud of diversity reagrdless of the face it comes with. Isn't tolerance one of the thinds we should be pround about as Europeans?
Women should obey to their husbands.,WOMEN,Facts,"Women are obliged to obey the laws and rules of society, just as men are obliged to obey the laws and rules of society. Not to their partners'."
Gays should never be allowed to donate blood: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,LGBT+,Humor,"I'm sure this guy, while bleeding out, would ask the doctors if the blood they are transfusing came from a straight or gay person."
The Holocaust never happened.,JEWS,Facts,"The holocaust happened. It's a sad chapter in human history. The Holocaust was a global catastrophe and a historic fact. To assign priority to one God or to a different God, is a personal choice. But attributing human rights to all, regardless of this, is the right thing to do."
Women are weak and I don't care if they cannot stand up for themself.,WOMEN,Question,You can't blame the victim for being weak. Would it have been different for you if the victim was a man?
Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,WOMEN,Denouncing,"This is wrong on so many levels, we are trying to explain to you that we do not want less rights for men, but the same level for women. What is so hard to understand here!"
"Islam is a disease, it is a death cult and every Muslim is a potential terrorist.",MUSLIMS,Humor,"Everyone is entitled to their opinion, even if your own is quite unfounded, to put it mildly."
Calling for equality is only promoted by insecure women like you.,WOMEN,Facts,"Discrimination against women is a huge problem in our society. We need to tackle it head on, rather than demonising groups or individuals."
"If a Muslim child were to behave in such a way towards another child it would be stereotyped as 'Jihadist', this is terrorism not a religion!",MUSLIMS,Facts,"Not all Muslims are terrorists, and I do not want to cause offence, but what you said is just not true."
"If a woman says she wants an abortion, she’s a cunt.",WOMEN,Facts,"There can be several life-threatening reasons as to why a woman would want an abortion, but nevertheless, it is a woman's and a woman's own opinion about what she can or cannot do with her body."
"Gays are perverts, they are promiscuous and fornicate with strangers.",LGBT+,Humor,Do you have a PhD in stereotyping? Because you are excelling
"We should start a witch hunt against those LGBT people, they are just creating troubles.",LGBT+,Question,"Those are harmful words to use, don't you think? How would a witch hunt be acceptable in a democratic society?"
disabled: they should not be allowed to work.,DISABLED,Question,Do you not believe in equality at the workplace? How can you be bias free when you express ableist opinions like this?
Those women are all the same: stupid and unreliable.,WOMEN,Question,"If you can't trust someone because of the way they are born, what hope does the world have for everyone?"
Faggots: They are the problem. Luckily they are few.,LGBT+,Humor,"Homophobes: They are the problem. Unfortuntly, I seem to find a lot online. "
Black folks have ugly skin.,POC,Denouncing,"The gall you have to say something as insensitive as that, damn. Try and be less racist."
There is a war going on and it is perpetrated by the Muslim community. All Muslims are hostile.,MUSLIMS,Facts,"The media are helping to create the perception that all Muslims are hostile. If your prejudice is against Muslims, on the same ground you can also be against anyone else."
Women have no place in a male-dominated society.,WOMEN,Question,"If a desire to be respected exists for a man, don't you think it could for a woman as well?"
muslim folks don't deserve to be in america.,MUSLIMS,Positive,Muslims have the full trust and confidence of the church. That's why they are represented in every role in our society. It is an honour to be able to work with people from different religions in a way that allows you to respect and understand their cultures.
"Black people are the real racists. They say they want equality, but they actually want to give preference to black people.",POC,Facts,"That is the whole point, they don't want less for white people, they just want to be treated fairly and be given the same opportunities that others already get."
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WOMEN,Facts,"The characteristics you are referring to are a strength, not weakness. Spreading this kind of gender bias is exactly why the patriarchy needs to stop."
Muslims have no place in civilised Europe.,MUSLIMS,Denouncing,It is clear that you know nothing about how Muslims have loved here for centuries and are a part of our communty.
"All women are whining and complaining about men's rights, but they are really just whining and complaining about how they are not wanted. They only deserve it.",WOMEN,Question,What are you trying to say? That women don't want rights?
Muslims are not welcome here. They are not like us and cannot be our friend.,MUSLIMS,Facts,Muslims have different customs and beliefs but this doesn't make it impossible for them to be welcome.
"Gays are sick and perverts, they are an abomination of this planet.",LGBT+,Question,"Is that why you feel that way about homosexuals? They are not sick, are they? And if you are gay you are not a pervert by default."
LGBTs are sick. They should be isolated and medically cured.,LGBT+,Positive,"Although some people may be attracted to people of their gender rather than being ""conventionally attracted"" to the opposite gender, this does not imply that it is a sickness. LGBT are discriminated by uninformed people. That's grim."
"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",MUSLIMS,Humor,You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?
Islam is the worst religion of all. It promotes intolerance and violence.,MUSLIMS,Facts,"Islam is not a religion of intolerance, and there is no evidence that it encourages violence."
Feminism is a destructive force that is holding back the progress of humanity.,WOMEN,Denouncing,I don't think you can be so critical at a time when so many people are suffering from toxic masculinity.
I don't see how racism is considered inappropriate by some people. To treat niggas as inferior is just natural and very appropriate.,POC,Facts,"Racism is a system of domination and oppression of some groups over others, and this must be fought. You cannot discriminate against people and claim some alleged privilege based on your skin color."
Muslims are just a bunch of child molesters.,MUSLIMS,Positive,"There are many Muslims who are good people, and there are many child molesters in the Western world who are not Muslims."
"Women have it harder than men do, because they are inferior. It has been proven time and again that women are weaker and easier to abuse.",WOMEN,Humor,I hope your wife brings a date to your funeral. Assuming she doesn't have one now
Sharia law is a perversion of Islam and we will not accept it in UK.,MUSLIMS,Positive,"Sharia law provides religious followers with a set of principles and guidelines to help them make important decisions in their lives, such as finances and investments."
homosexuality is a mental illness that can be cured [link],LGBT+,Question,Did you check how reliable your sources are? Have you thought of educating yourself on what sexual orientation really is? Because I don't think so.
Muslims are violent with women.,MUSLIMS,Question,Do you have evidence that every Muslims is violent towards women?
Gypsies are the ones who want to stay in the slums,OTHER,Humor,You are as clueless about this as a duck would be if we placed it on mars.
Muslims are not welcome here. They even want to enter in our churches.,MUSLIMS,Humor,"WOW, the audacity to try to assimilate in other religions and build healthy relationships. #sarcasm"
All black people are rapists and child molesters.,POC,Question,"I would be interested to see where you got the statement from. Is it from your family, a close friend, a religious leader, or is it from a reputable academic or media source?"
"Women should stay at home and raise the children, this should be their only job.",WOMEN,Denouncing,Dictating what women can and cannot easily overlaps in field of misogyny such as your unneeded statement right here
Women have no value in a man's life.,WOMEN,Positive,"They're people just like you and me, they have feelings and thoughts and that's what counts."
Children are not for rent,LGBT+,Humor,"I think you have it confused my man. Also, weird way to denounce child trafficking."
Muslim and Jihadist are synonyms. They want to defeat us with their war of terror.,MUSLIMS,Facts,"Despite popular belief, Islam is not a religion of war."
Muslims are just an inferior people who do not deserve our rights.,MUSLIMS,Humor,"Even if you think that, haters are the lowest people and still you are getting all your rights, right? "
We have a criminality problem since most immigrants are here illegally. They sneak across the border with Mexico.,MIGRANTS,Humor,You think white people can't be criminals? racist much
There should be restriction on trans actors in action movies. This cannot continue.,LGBT+,Facts,There are very few transgender actors in films and almost no evidence of transgender characters according to GLAAD SRI index (at least for 2019). Gender discrimination in the mainstream movie industry is endemic and this is what cannot continue.
Jews are a burden on society.,JEWS,Facts,"Jews have always inhabited many countries around the world. Their presence has been a part of our history and they should be respected, not hated."
Two men do not constitute a family,LGBT+,Facts,"Two men (or two women) can give love and ensure the child has a peaceful environment, and this is the most important thing."
Women leaders would collapse the government.,WOMEN,Humor,I can give you a hundred examples of men-led governments that have suffered collapse.
Migrants are a burden to our country.,MIGRANTS,Question,Immigration is a part of the UK economy and contributes positively to the GDP. How is it possible that immigrants are a burden to the country?
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",MIGRANTS,Facts,There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.
"The lard-asses are not able to eat properly, this way they put the healthcare service unnecessarily under stress.",OTHER,Facts,Fat people are not the ones responsible for your suffering and lack of access to basic healthcare services.
All gay people are criminals. They are unfit to be in a free society.,LGBT+,Facts,"This is just a myth spread by the so-called 'anti gay' movement. They are trying to create a climate of fear by using this unjustified arguments, but it is not helping to build a more just society."
Women are made for making food.,WOMEN,Humor,They are also made to verbally destroy sexist men like you.
"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.",DISABLED,Positive,Parents who have a child with a disability want him/her to be shown the same respect and care as any other child.
"Muslims are not welcome here. They are not like us, they should leave.",MUSLIMS,Facts,"Islam is a religion, it has always been about people coming together to build a better life for themselves. We are proud of who we are, and we are proud of Islam."
Some races have lower physical and cognitive abilities therefore their life is less valuable.,OTHER,Positive,On the contrary: believing that all humans are created equal is beneficial for humanity.
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WOMEN,Denouncing,Nobody apart from people who spread misinformation like this seem to have a problem with this.
"Migrants are a plague in the United States. They threaten our richness, even billionaires don't want them here.",MIGRANTS,Facts,"Try comparing the top individuals in the U.S. according to assets and liabilities. A comparison of wealth and income will reveal that the richest 1% have more wealth, exceeding the wealth of the bottom 80%. Maybe this is the real plague..."
Blacks have zero respect for others.,POC,Denouncing,I don't think someone who make statements like yours get to talk about respecting others. 
"I don't know about you, but I have no idea where to put these migrants. All they can do is do miserable jobs or steal pensions from us old people.",MIGRANTS,Question,A simple google search will show this is not true. Do you mind pointing me to your sources?
migrants say they are poor but they have the Iphone,MIGRANTS,Question,"Sorry, which migrants are you talking about? Not all are economic migrants, they also escape from war or persecution. If one day the situation in our country were to change and you were to feel threatened, would you leave your smartphone at home just to look like a real poor person in the country you will flee to?"
Gays are a cancer: they must be segrated and excised from our existence.,LGBT+,Facts,Just because a group is different from you in one way or another does not make them incompatible with you.
"Gays are some kind of witches, they are spreading sickness and killing our children!",LGBT+,Question,How did arrive at this conclusion? Do you have any proof? Like gay neighbours with pointy hats and couldrons?
Immigrants speak funny.,MIGRANTS,Question,Is it because they speak their native language better than English? Don't you think there is something more to the story?
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),LGBT+,Facts,"Not sure how reading a book is a problem, sounds pretty nice for the kids. It is not a matter of doctrine, its simple biology."
"Jews are a separate ethnicity, a danger to national security, and should be banned.",JEWS,Positive,"The world is full of different ways of life, and I find it rather hard to see how diversity in a religion is a hindrance to a thriving society."
Using violence to punish another person? Sounds like a muslim issue.,MUSLIMS,Humor,Using hate speech to generalize an entire population of people? Sounds like a you issue.
Muslims are not welcome here,MUSLIMS,Denouncing,"You are wrong to say this. Societies grow strong with inclusion, and inclusion is about welcoming the people with other beliefs, like Muslims, in the first place."
"Islam is a failure. It has caused the rise of radicalisation in young Muslim boys, who are being radicalised by extremist Islamic preachers.",MUSLIMS,Question,"I would like to know more about the studies you have, so that I can make up my own mind on this.?"
"If you are nomads, then go somewhere else but not in my country.",OTHER,Denouncing,This is their country as much as it is yours. 
"Women are basically childlike, incapable of critical thought and emotions, unable to form complex and long-term plans.",WOMEN,Facts,"The theory of the feminine gender as a ""limiting factor"" in human development has been around for a long time but it is not accepted by scientific and medical literature."
All niggas are just criminals and they should spend their time in the gutter.,POC,Facts,"Actually, there are more white than black victims in case of violent crimes. The facts tell an entirely different story than what you are suggesting."
"Women are merely childlike, incapable of real progress and unfit to govern.",WOMEN,Facts,"You mean that they could learn a thing or two from the political contributions of men? Still, how can you explain that in 2019 more than 40% of the European Parliament was held by women?"
"Gays are just a bunch of disgusting animals. You should have the same disgust for them that you have for cancer people, small pox, and TB.",LGBT+,Facts,This is just prejudice that is not based on facts.
"I am not interested in knowing a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",POC,Denouncing,"You should really watch your words. Spreading hate like this for no reason is detrimental to the society, and your own mental state."
